cluster	nomenclature	taxon
3843	1.4.1.5.3.1.1.4.4	a/egypt/n0423/2011_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/0894-nlqp/2008_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/0972-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/0945-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/0984smf-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n03438/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n00605/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n11981/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n03439/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/3982-44/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/environment/egypt/104swf/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n02039/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n01310/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/goose/egypt/09324sm-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/09485s-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/09274sm-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n04396/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n02407/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/0987alb-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/0987-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n03272/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n03228/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/11vir4453-175/vrlcu/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/102d/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/1034qd/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/1020d/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n00585/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/0920-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n09539/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/1063s/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/3982-2/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/shmk-2203/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/1046sf/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/1090/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n07392/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n08835/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n02038/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n00270/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/10157s/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n05912/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/3982-12/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/115/2011_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/10117/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/turkey/egypt/112694v/2011_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/10255ag/2010_CLADE2.2.1
