leafname	clustername
a/duck/vietnam/43/2007_CLADE2_3_4	10296
a/duck/yunnan/5310/2006_CLADE2_3_4	10296
a/duck/vietnam/53/2007_CLADE2_3_4	10296
a/common_magpie/hong_kong/2125/2006_CLADE2_3_4	10296
a/robin/hong_kong/75/2006_CLADE2_3_4	10296
a/duck/guangxi/4830/2005_CLADE2_3_4	10296
a/duck/guangxi/2143/2006_CLADE2_3_4	10296
a/duck/fujian/10934/2005_CLADE2_3_4	10296
a/duck/guiyang/3996/2005_CLADE2_3_4	10296
a/chicken/shantou/3923/2006_CLADE2_3_4	10296
a/goose/yunnan/4985/2006_CLADE2_3_4	10296
a/duck/fujian/11311/2005_CLADE2_3_4	10296
a/guangxi/1/2005_CLADE2_3_4	10296
a/chicken/fujian/10567/2005_CLADE2_3_4	10296
a/duck/guangxi/5457/2005_CLADE2_3_4	10296
a/duck/guangxi/1830/2006_CLADE2_3_4	10296
a/goose/yunnan/5540/2006_CLADE2_3_4	10296
a/goose/yunnan/6384/2006_CLADE2_3_4	10296
a/chicken/shantou/3840/2006_CLADE2_3_4	10296
a/china/2006_CLADE2_3_4	10296
a/muscovy_duck/vietnam/48/2007_CLADE2_3_4	10296
a/goose/yunnan/1136/2006_CLADE2_3_4	10296
a/goose/shantou/3265/2006_CLADE2_3_4	10296
a/chicken/guangxi/1212/2006_CLADE2_3_4	10296
a/goose/guangxi/4513/2005_CLADE2_3_4	10296
a/muscovy_duck/vietnam/209/2005_CLADE2_3_4	10296
a/duck/hunan/15/2004_CLADE2_3_3	10296
a/chicken/shantou/1233/2006_CLADE2_3_4	10296
a/duck/yunnan/4873/2006_CLADE2_3_4	10296
a/muscovy_duck/vietnam/39/2007_CLADE2_3_4	10296
a/duck/guiyang/3242/2005_CLADE2_3_3	10296
a/duck/fujian/1734/05_CLADE2_3_4	10296
a/duck/guangxi/1436/2006_CLADE2_3_4	10296
a/duck/guiyang/293/2006_CLADE2_3_4	10296
a/duck/fujian/11094/2005_CLADE2_3_4	10296
a/duck/hunan/5106/2005_CLADE2_3_4	10296
a/duck/fujian/668/2006_CLADE2_3_4	10296
a/duck/vietnam/50/2007_CLADE2_3_4	10296
a/goose/guiyang/3422/2005_CLADE2_3_3	10296
a/munia/hong_kong/2454/2006_CLADE2_3_4	10296
a/goose/yunnan/1143/2006_CLADE2_3_4	10296
a/chicken/guiyang/1018/2006_CLADE2_3_4	10296
a/duck/guangxi/288/2006_CLADE2_3_4	10296
a/duck/guiyang/1260/2006_CLADE2_3_4	10296
a/goose/guangxi/1898/2006_CLADE2_3_4	10296
a/common_magpie/hong_kong/645/2006_CLADE2_3_4	10296
a/jiangsu/1/2007_CLADE2_3_4	10296
a/chicken/hong_kong/282/2006_CLADE2_3_4	10296
a/human/china/gd02/2006_CLADE2_3_4	10296
a/duck/vietnam/37/2007_CLADE2_3_4	10296
a/duck/guangxi/392/2006_CLADE2_3_4	10296
a/anhui/1/2005_CLADE2_3_4	10296
a/chicken/guiyang/3570/2005_CLADE2_3_3	10296
a/common_magpie/hong_kong/2256/2006_CLADE2_3_4	10296
a/goose/guangxi/4289/2005_CLADE2_3_4	10296
a/chicken/guiyang/3721/2005_CLADE2_3_4	10296
a/crested_myna/hong_kong/540/2006_CLADE2_3_4	10296
a/goose/yunnan/3798/2006_CLADE2_3_4	10296
a/goose/guangxi/532/2006_CLADE2_3_4	10296
a/goose/shantou/18442/2005_CLADE2_3_4	10296
a/little_egret/hong_kong/718/2006_CLADE2_3_4	10296
a/chicken/guiyang/4059/2005_CLADE2_3_4	10296
a/duck/guiyang/497/2006_CLADE2_3_4	10296
a/muscovy_duck/vietnam/51/2007_CLADE2_3_4	10296
a/duck/guangxi/1258/2006_CLADE2_3_4	10296
a/chicken/zhejiang/24/2005_CLADE2_3_4	10296
a/chicken/guangxi/1951/2006_CLADE2_3_4	10296
a/chicken/hong_kong/947/2006_CLADE2_3_4	10296
a/chicken/nongkhai/niah400802/2007_CLADE2_3_4	10296
a/duck/guangxi/744/2006_CLADE2_3_4	10296
