clustername,bootstrap,leafname,branchPath,medianOfDistances,sequencesperCluster
10296,0.9999,'a/goose/yunnan/1338/2006_CLADE2_3_4',0.05626050225784023,0.011385372908382999,117
10296,0.9999,'a/goose/guangxi/1458/2006_CLADE2_3_4',0.05626587987755786,0.011385372908382999,117
10296,0.9999,'a/chicken/fujian/10039/2005_CLADE2_3_4',0.053632261094728594,0.011385372908382999,117
10296,0.9999,'a/duck/guangxi/150/2006_CLADE2_3_4',0.05361851598403931,0.011385372908382999,117
10296,0.9999,'a/chicken/guiyang/3055/2005_CLADE2_3_3',0.05541186726375762,0.011385372908382999,117
10296,0.9999,'a/goose/shantou/3295/2006_CLADE2_3_4',0.051636805590267364,0.011385372908382999,117
10296,0.9999,'a/muscovy_duck/vietnam/56/2007_CLADE2_3_4',0.06290948193468394,0.011385372908382999,117
10296,0.9999,'a/duck/guangxi/619/2006_CLADE2_3_4',0.052958006445344714,0.011385372908382999,117
10296,0.9999,'a/duck/vietnam/43/2007_CLADE2_3_4',0.061584899567062125,0.011385372908382999,117
10296,0.9999,'a/duck/yunnan/5310/2006_CLADE2_3_4',0.06023409250775521,0.011385372908382999,117
10296,0.9999,'a/duck/vietnam/53/2007_CLADE2_3_4',0.06359280834371706,0.011385372908382999,117
10296,0.9999,'a/common_magpie/hong_kong/2125/2006_CLADE2_3_4',0.05298001258086504,0.011385372908382999,117
10296,0.9999,'a/robin/hong_kong/75/2006_CLADE2_3_4',0.05295573291125053,0.011385372908382999,117
10296,0.9999,'a/duck/guangxi/4830/2005_CLADE2_3_4',0.051632763942473826,0.011385372908382999,117
10296,0.9999,'a/duck/guangxi/2143/2006_CLADE2_3_4',0.05696427392219685,0.011385372908382999,117
10296,0.9999,'a/duck/fujian/10934/2005_CLADE2_3_4',0.05429272149405375,0.011385372908382999,117
10296,0.9999,'a/duck/guiyang/3996/2005_CLADE2_3_4',0.05229928352442317,0.011385372908382999,117
10296,0.9999,'a/chicken/shantou/3923/2006_CLADE2_3_4',0.05297158712395288,0.011385372908382999,117
10296,0.9999,'a/goose/yunnan/4985/2006_CLADE2_3_4',0.05560364410524688,0.011385372908382999,117
10296,0.9999,'a/duck/fujian/11311/2005_CLADE2_3_4',0.05429172149355372,0.011385372908382999,117
10296,0.9999,'a/guangxi/1/2005_CLADE2_3_4',0.05228797728096685,0.011385372908382999,117
10296,0.9999,'a/chicken/fujian/10567/2005_CLADE2_3_4',0.05497617185755888,0.011385372908382999,117
10296,0.9999,'a/duck/guangxi/5457/2005_CLADE2_3_4',0.05427310996994247,0.011385372908382999,117
10296,0.9999,'a/duck/guangxi/1830/2006_CLADE2_3_4',0.05229811376229324,0.011385372908382999,117
10296,0.9999,'a/goose/yunnan/5540/2006_CLADE2_3_4',0.061548057230643584,0.011385372908382999,117
10296,0.9999,'a/goose/yunnan/6384/2006_CLADE2_3_4',0.06220309813082966,0.011385372908382999,117
10296,0.9999,'a/chicken/shantou/3840/2006_CLADE2_3_4',0.05297158712395288,0.011385372908382999,117
10296,0.9999,'a/china/2006_CLADE2_3_4',0.05624008986565784,0.011385372908382999,117
10296,0.9999,'a/muscovy_duck/vietnam/48/2007_CLADE2_3_4',0.06158540583247312,0.011385372908382999,117
10296,0.9999,'a/goose/yunnan/1136/2006_CLADE2_3_4',0.05692413715862794,0.011385372908382999,117
10296,0.9999,'a/goose/shantou/3265/2006_CLADE2_3_4',0.05164178653663467,0.011385372908382999,117
