cluster	nomenclature	taxon
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/a10542c/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/a10544d/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/a10540a/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/a10759e/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/a10758d/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/a10759b/2015_CLADE2_2_1_2
4622	1.2.1.1.1.3.2.8.3.6.1	a_/_h5n6/a/chicken/xuzhou/xz6/2016_CLADE2_3_4_4
4622	1.2.1.1.1.3.2.8.3.6.1	a_/_h5n6/a/duck/hunan/hn288/2015_CLADE2_3_4_4
4622	1.2.1.1.1.3.2.8.3.6.1	a_/_h5n6/a/duck/hunan/hn278/2015_CLADE2_3_4_4
4622	1.2.1.1.1.3.2.8.3.6.1	a_/_h5n6/a/duck/hunan/hn335/2015_CLADE2_3_4_4
4622	1.2.1.1.1.3.2.8.3.6.1	a_/_h5n6/a/duck/hunan/hn285/2015_CLADE_2_3_4_4
4622	1.2.1.1.1.3.2.8.3.6.1	a_/_h5n6/a/duck/hunan/hn271/2015_CLADE2_3_4_4
4622	1.2.1.1.1.3.2.8.3.6.1	a_/_h5n6/a/duck/hunan/hn277/2015_CLADE2_3_4_4
4622	1.2.1.1.1.3.2.8.3.6.1	a_/_h5n6/a/duck/jiangxi/ncdzt1123/2014_CLADE2_3_4_4
4622	1.2.1.1.1.3.2.8.3.6.1	a_/_h5n6/a/duck/jiangxi/ncdzt1126/2014_CLADE2_3_4_4
4622	1.2.1.1.1.3.2.8.3.6.1	a_/_h5n6/a/environment/guangdong/79900/2014_CLADE2_3_4_4
4622	1.2.1.1.1.3.2.8.3.6.1	a_/_h5n6/a/chicken/taishun/ts90/2016_CLADE2_3_4_4
4622	1.2.1.1.1.3.2.8.3.6.1	a_/_h5n6/a/chicken/taishun/ts2/2016_CLADE2_3_4_4
4622	1.2.1.1.1.3.2.8.3.6.1	a_/_h5n6/a/environment/guangdong/21109/2015_CLADE2_3_4_4
4622	1.2.1.1.1.3.2.8.3.6.1	a_/_h5n6/a/duck/jiangxi/01_14_ncjd064-p/2015_CLADE_2_3_4_4
4622	1.2.1.1.1.3.2.8.3.6.1	a_/_h5n6/a/duck/jiangxi/02_05_ygyxg038-p/2015_CLADE_2_3_4_4
4622	1.2.1.1.1.3.2.8.3.6.1	a_/_h5n6/a/chicken/jiangxi/02_05_ygyxg023-p/2015_CLADE_2_3_4_4
4622	1.2.1.1.1.3.2.8.3.6.1	a_/_h5n6/a/environment/jiangxi/01_14_ncjd027/2015_CLADE_2_3_4_4
4622	1.2.1.1.1.3.2.8.3.6.1	a_/_h5n6/a/duck/jiangxi/02_06_ncjd036-p/2015_CLADE_2_3_4_4
4622	1.2.1.1.1.3.2.8.3.6.1	a_/_h5n6/a/duck/jiangxi/01_14_ncjd054-p/2015_CLADE_2_3_4_4
3603	1.2.1.1.1.3.2.4.1.1.3.2	a_/_h5n1/a/chicken/egypt/1300-namru3/2007_CLADE2_2_1
3603	1.2.1.1.1.3.2.4.1.1.3.2	a_/_h5n1/a/egypt/1902-namru3/2007_CLADE2_2_1
3603	1.2.1.1.1.3.2.4.1.1.3.2	a_/_h5n1/a/duck/egypt/5169-1/2007_CLADE2_2_1
3603	1.2.1.1.1.3.2.4.1.1.3.2	a_/_h5n1/a/chicken/egypt/07175-nlqp/2007_CLADE2_2_1
3603	1.2.1.1.1.3.2.4.1.1.3.2	a_/_h5n1/a/duck/egypt/d2br210/2007_CLADE2_2_1
3603	1.2.1.1.1.3.2.4.1.1.3.2	a_/_h5n1/a/duck/egypt/d2br10/2007_CLADE2_2_1
3603	1.2.1.1.1.3.2.4.1.1.3.2	a_/_h5n1/a/duck/egypt/d2li234/2007_CLADE2_2_1
3603	1.2.1.1.1.3.2.4.1.1.3.2	a_/_h5n1/a/turkey/egypt/07444s-nlqp/2007_CLADE2_2_1
3603	1.2.1.1.1.3.2.4.1.1.3.2	a_/_h5n1/a/chicken/egypt/9388namru3-clevb149/2007_CLADE2_2_1
3603	1.2.1.1.1.3.2.4.1.1.3.2	a_/_h5n1/a/chicken/egypt/0850-nlqp/2008_CLADE2_2_1
3603	1.2.1.1.1.3.2.4.1.1.3.2	a_/_h5n1/a/chicken/egypt/0811-nlqp/2008_CLADE2_2_1
3603	1.2.1.1.1.3.2.4.1.1.3.2	a_/_h5n1/a/turkey/egypt/7/2007_CLADE2_2_1
3603	1.2.1.1.1.3.2.4.1.1.3.2	a_/_h5n1/a/goose/egypt/13009n3-sm2/2006_CLADE2_2_1
