CLUSTER	TAXA	Sensitivity-induced (original cluster-node-id)	Sub-cluster subsumed into parent (original cluster-node-id)
24	'a/duck/phitsanulok/niah6-2-0044/2004_CLADE1'		
323	'a/viet_nam/jp178/2004_CLADE1'		
1022	'a/chicken/cambodia/x0815302/2013_CLADE1.1.2'		
378	'a/chicken/phichit/niah1/2006_CLADE1'		
24	'a/chicken/thailand/phitsanulok-03/2004_CLADE1'		
24	'a/chicken/nakhon_pathom/thailand/cu-14/04_CLADE1'		
24	'a/chicken/nakhon_sawan/thailand/cu-13/04_CLADE1'		
0	'a/quail/shantou/3054/2002_CLADE1'		
24	'a/duck/vietnam/15/2003_CLADE1'		
24	'a/duck/nakornsawan-2-02/2004_CLADE1'		
24	'a/chicken/chonburi/thailand/cu-73/04_CLADE1'		
728	'a/muscovy_duck/ca_mau/1159/2006_CLADE1.1'		
893	'a/duck/cambodia/tk007d5t/2010_CLADE1.1.2'		
323	'a/vietnam/pev16t/2005_CLADE1'		
323	'a/ck/viet_nam/38/2004_CLADE1'		
24	'a/little_cuckoo-dove/tak-2-01/2004_CLADE1'		
101	'a/chicken/vietnam/20/2003_CLADE1'		
24	'a/chicken/phitsanulok/niah6-3-0011/2005_CLADE1'		
24	'a/chicken/uthaithani-2-05/2004_CLADE1'		
24	'a/vietnam/ut3035/2003_CLADE1'		
694	'a/duck/hau_giang/07-12/2007_CLADE1.1'		
596	'a/cambodia/vn05-103/2005_CLADE1'		
0	'a/quail/shantou/3071/2002_CLADE1'		
501	'a/chicken/sukhothai/niah114843/2008_CLADE1'		
776	'a/duck/vietnam/3/2010_CLADE1.1.1'		
24	'a/chicken/thailand/ts02/2006_CLADE1'		
24	'a/open-billed_stork/nakhonsawan/bbd0404f/2004_CLADE1'		
301	'a/gray-crowed_crane/thailand/vsmu-4-cbi/2005_CLADE1'		
24	'a/clouded_leopard/thailand/ku-11/2004_CLADE1'		
24	'a/hatay/2004_CLADE1'		
910	'a/duck/vietnam/ncvd-ka206/2012_CLADE1.1.2'		
378	'a/watercock/thailand/cu-319/06_CLADE1'		
853	'a/duck/cambodia/tk05d8t/2010_CLADE1.1.2'		
776	'a/duck/vietnam/ncvd-010/2008_CLADE1.1.1'		
596	'a/duck/cambodia/d14al/2006_CLADE1'		
24	'a/cat/thailand/ku-02/04_CLADE1'		
24	'a/chicken/cambodia/1/2004_CLADE1'		
24	'a/crow/bangkok/thailand/cu-25/04_CLADE1'		
24	'a/goose/cambodia/28/2004_CLADE1'		
853	'a/chicken/vietnam/ncvd-883/2011_CLADE1.1.2'		
24	'a/openbill_stork/thailand/vsmu-5-nsn/2004_CLADE1'		
694	'a/chicken/cambodia/lc1al/2007_CLADE1.1'		
